[2017-09-09 01:52:00,471|seq_script.py:60 - config] Loading configuration file: 'config.cfg'
[2017-09-09 01:52:00,472|seq_script.py:69 - config] general
[2017-09-09 01:52:00,472|seq_script.py:71 - config]     exec_file: exec_lines.txt
[2017-09-09 01:52:00,472|seq_script.py:71 - config]     exec_conf: execline, num edate etime function pti
[2017-09-09 01:52:00,472|seq_script.py:69 - config] indiserver
[2017-09-09 01:52:00,472|seq_script.py:71 - config]     port: 7624
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     address: 127.0.0.1
[2017-09-09 01:52:00,473|seq_script.py:69 - config] camera
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     name: FLI CCD
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     address: 127.0.0.1
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     port: 7624
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     driver: indi_fli_ccd
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     timeout: 60.0
[2017-09-09 01:52:00,473|seq_script.py:69 - config] telescope
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     name: Losmandy Gemini
[2017-09-09 01:52:00,473|seq_script.py:71 - config]     address: 127.0.0.1
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     port: 7624
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     driver: indi_lx200gemini
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     timeout: 60.0
[2017-09-09 01:52:00,474|seq_script.py:69 - config] filterw
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     name: FLI CFW
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     address: 127.0.0.1
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     port: 7624
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     driver: indi_fli_wheel
[2017-09-09 01:52:00,474|seq_script.py:71 - config]     timeout: 60.0
[2017-09-09 01:52:00,474|seq_script.py:69 - config] filters
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     1: L
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     2: R
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     3: G
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     4: B
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     5: HA
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     6: P
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     7: C
[2017-09-09 01:52:00,475|seq_script.py:69 - config] guider
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     name: Guider Simulator
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     driver: indi_simulator_guider
[2017-09-09 01:52:00,475|seq_script.py:71 - config]     timeout: 2.0
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     phd2: on
[2017-09-09 01:52:00,476|seq_script.py:69 - config] images
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     upload_mode: BOTH
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     download_path: /home/pere/fits/rawdata/
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     extension: .fits
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     imr_sufix: imr_xxx
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     cbs_sufix: cbs_xxx
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     cth_sufix: cth_xxx
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     cfl_sufix: cfl_xxx
[2017-09-09 01:52:00,476|seq_script.py:69 - config] instruments
[2017-09-09 01:52:00,476|seq_script.py:71 - config]     file_path: 
[2017-09-09 01:52:00,477|seq_script.py:71 - config]     data_file: instruments.txt
[2017-09-09 01:52:00,477|seq_script.py:71 - config]     data_conf: instr, ID instrument img_type tracking exposures exp_time defoc binn roi ifilter
[2017-09-09 01:52:00,477|seq_script.py:69 - config] targets
[2017-09-09 01:52:00,477|seq_script.py:71 - config]     file_path: 
[2017-09-09 01:52:00,477|seq_script.py:71 - config]     data_file: targets.txt
[2017-09-09 01:52:00,477|seq_script.py:71 - config]     data_conf: target, ID obj_name coord_name coord_acr coord_value equinox
[2017-09-09 01:52:00,477|seq_script.py:69 - config] obsconstrains
[2017-09-09 01:52:00,477|seq_script.py:71 - config]     file_path: none
[2017-09-09 01:52:00,478|seq_script.py:71 - config]     data_file: obs_constrains.txt
[2017-09-09 01:52:00,478|seq_script.py:71 - config]     data_conf: obsconst, ID sun_elev min_air max_air moon_ph moon_elev moon_dist window
[2017-09-09 01:52:00,482|seq_script.py:218 - check_indi] Checking if indiverver is runningps--no-headers-Cindiserver-opid
[2017-09-09 01:52:00,504|seq_script.py:222 - check_indi] [32m***  INDISERVER is running   ***[0m
[2017-09-09 01:52:00,504|telescope.py:50 - connect] Connecting Losmandy Gemini to indiserver.
[2017-09-09 01:52:00,504|utils.py:93 - get2] Getting "Losmandy Gemini.CONNECTION.CONNECT._STATE" properties
[2017-09-09 01:52:00,504|utils.py:76 - run] Running: indi_getprop -h 127.0.0.1 -p 7624 Losmandy Gemini.CONNECTION.CONNECT._STATE
[2017-09-09 01:52:00,513|utils.py:103 - set2] Setting: Losmandy Gemini.CONNECTION.CONNECT=On;DISCONNECT=Off
[2017-09-09 01:52:00,513|utils.py:76 - run] Running: indi_setprop -t 30 -h 127.0.0.1 -p 7624 Losmandy Gemini.CONNECTION.CONNECT=On;DISCONNECT=Off
[2017-09-09 01:52:00,524|utils.py:118 - eval2] Evaluation: ['-wo', '-t', '30', '"Losmandy Gemini.CONNECTION._STATE"==1']
[2017-09-09 01:52:00,524|utils.py:76 - run] Running: indi_eval -h 127.0.0.1 -p 7624 -wo -t 30 "Losmandy Gemini.CONNECTION._STATE"==1
[2017-09-09 01:52:00,662|telescope.py:59 - connect] [32m***  Losmandy Gemini  Connected!  ***[0m
[2017-09-09 01:52:00,663|camera.py:46 - connect] Connecting FLI CCD to indiserver.
[2017-09-09 01:52:00,663|utils.py:93 - get2] Getting "FLI CCD.CONNECTION.CONNECT._STATE" properties
[2017-09-09 01:52:00,663|utils.py:76 - run] Running: indi_getprop -h 127.0.0.1 -p 7624 FLI CCD.CONNECTION.CONNECT._STATE
[2017-09-09 01:52:00,670|utils.py:103 - set2] Setting: FLI CCD.CONNECTION.CONNECT=On;DISCONNECT=Off
[2017-09-09 01:52:00,670|utils.py:76 - run] Running: indi_setprop -t 30 -h 127.0.0.1 -p 7624 FLI CCD.CONNECTION.CONNECT=On;DISCONNECT=Off
[2017-09-09 01:52:00,677|utils.py:118 - eval2] Evaluation: ['-wo', '-t', '30', '"FLI CCD.CONNECTION._STATE"==1']
[2017-09-09 01:52:00,678|utils.py:76 - run] Running: indi_eval -h 127.0.0.1 -p 7624 -wo -t 30 "FLI CCD.CONNECTION._STATE"==1
[2017-09-09 01:52:00,693|camera.py:55 - connect] [32m***  FLI CCD  Connected!  ***[0m
[2017-09-09 01:52:00,693|camera.py:174 - connect] Connecting FLI CFW to indiserver.
[2017-09-09 01:52:00,693|utils.py:93 - get2] Getting "FLI CFW.CONNECTION.CONNECT._STATE" properties
[2017-09-09 01:52:00,694|utils.py:76 - run] Running: indi_getprop -h 127.0.0.1 -p 7624 FLI CFW.CONNECTION.CONNECT._STATE
[2017-09-09 01:52:00,699|utils.py:103 - set2] Setting: FLI CFW.CONNECTION.CONNECT=On;DISCONNECT=Off
[2017-09-09 01:52:00,700|utils.py:76 - run] Running: indi_setprop -t 30 -h 127.0.0.1 -p 7624 FLI CFW.CONNECTION.CONNECT=On;DISCONNECT=Off
[2017-09-09 01:52:00,705|utils.py:118 - eval2] Evaluation: ['-wo', '-t', '30', '"FLI CFW.CONNECTION._STATE"==1']
[2017-09-09 01:52:00,706|utils.py:76 - run] Running: indi_eval -h 127.0.0.1 -p 7624 -wo -t 30 "FLI CFW.CONNECTION._STATE"==1
[2017-09-09 01:52:02,822|camera.py:183 - connect] [32m***  FLI CFW  Connected!  ***[0m
[2017-09-09 01:52:04,824|camera.py:144 - set_upload_mode] Setting UPLOAD_MODE to BOTH.
[2017-09-09 01:52:04,825|utils.py:76 - run] Running: indi_setprop -t 30 -h 127.0.0.1 -p 7624 FLI CCD.UPLOAD_MODE.UPLOAD_CLIENT=Off;UPLOAD_LOCAL=Off;UPLOAD_BOTH=On
[2017-09-09 01:52:04,843|utils.py:138 - get_all_properties] Getting all Losmandy Gemini properties.
[2017-09-09 01:52:04,844|utils.py:76 - run] Running: indi_getprop -h 127.0.0.1 -p 7624 -t 10 Losmandy Gemini.*.*
[2017-09-09 01:52:15,060|utils.py:153 - get_all_properties] CONNECTION
[2017-09-09 01:52:15,060|utils.py:161 - get_all_properties]    DISCONNECT = Off
[2017-09-09 01:52:15,060|utils.py:161 - get_all_properties]    CONNECT = On
[2017-09-09 01:52:15,060|utils.py:153 - get_all_properties] DRIVER_INFO
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    DRIVER_EXEC = indi_lx200gemini
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    DRIVER_NAME = LX200 Generic
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    DRIVER_INTERFACE = 5
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    DRIVER_VERSION = 1.3
[2017-09-09 01:52:15,061|utils.py:153 - get_all_properties] DEBUG
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    DISABLE = On
